code,risk_type
160910,中高风险
160915,中风险
160916,中高风险
161005,中高风险
161010,中风险
161015,中风险
161017,高风险
161019,中低风险
161022,高风险
161115,中风险
161117,中低风险
161118,高风险
161119,中低风险
161120,中低风险
161207,高风险
161211,高风险
161213,高风险
161216,中风险
161217,高风险
161219,中高风险
161505,中风险
161506,中风险
161601,中高风险
161603,中低风险
161604,高风险
161605,中高风险
161606,中高风险
161607,高风险
161609,中高风险
161610,中高风险
161611,中高风险
161612,高风险
161613,高风险
161614,中风险
161616,中高风险
161618,中低风险
161619,中低风险
161624,中高风险
161625,中高风险
161693,中低风险
161706,中高风险
161713,
161718,高风险
161810,中高风险
161812,高风险
161813,中风险
161816,高风险
161818,中高风险
161819,高风险
161820,中低风险
161825,高风险
161826,高风险
161902,中风险
161903,中高风险
161907,高风险
161908,中风险
161911,中低风险
162006,中高风险
162102,中高风险
162201,中高风险
162202,中高风险
162203,中高风险
162204,中高风险
162205,中高风险
162207,中高风险
162208,高风险
162209,中高风险
162210,中风险
162211,中高风险
162212,中高风险
162213,高风险
162214,中高风险
162216,高风险
162299,中风险
162307,高风险
162509,高风险
162605,中高风险
162607,中高风险
162703,中高风险
162711,高风险
162712,中风险
162714,高风险
162907,高风险
163109,高风险
163110,高风险
163209,高风险
163210,中低风险
163211,中低风险
163302,中高风险
163402,中高风险
163406,中高风险
163407,高风险
163409,中高风险
163411,中高风险
163412,中高风险
163415,中高风险
163503,中高风险
163801,中高风险
163803,中高风险
163804,中高风险
163805,中高风险
163806,中风险
163807,中高风险
163808,高风险
163809,中高风险
163810,中高风险
163811,中风险
163812,中风险
163816,中高风险
163817,中高风险
163818,中高风险
163819,中风险
163821,高风险
163822,中高风险
163823,中高风险
163824,中低风险
164105,中风险
164606,中风险
164702,中风险
164809,高风险
164810,中低风险
164902,中风险
165309,高风险
165311,
165313,中高风险
165508,中高风险
165509,中风险
165511,高风险
165512,中高风险
165515,高风险
165516,中高风险
165519,高风险
165520,高风险
165707,高风险
166001,中高风险
166002,中高风险
166005,中高风险
166006,中高风险
166008,中风险
166009,中高风险
166019,中高风险
166020,中高风险
166801,中高风险
166902,中低风险
166903,中低风险
166904,中低风险
166905,中低风险
180001,中高风险
180002,中低风险
180003,高风险
180010,中高风险
180012,中高风险
180013,中高风险
180015,中风险
180018,中高风险
180020,中高风险
180025,中风险
180026,中风险
180031,中高风险
180033,高风险
200001,中高风险
200002,高风险
200006,中高风险
200007,中高风险
200008,中高风险
200009,中风险
200010,中高风险
200011,中高风险
200012,中高风险
200013,中风险
200015,中高风险
200016,中高风险
200113,中风险
202001,中高风险
202002,中高风险
202003,中高风险
202005,中高风险
202007,中高风险
202009,中高风险
202011,中高风险
202015,高风险
202017,高风险
202019,中高风险
202021,高风险
202023,中高风险
202025,高风险
202027,中高风险
202101,中风险
202102,中风险
202103,中风险
202105,中风险
202107,中风险
202108,中低风险
202110,中低风险
202202,中低风险
202211,高风险
202212,中高风险
202213,中高风险
206002,中高风险
206003,中风险
206004,中风险
206005,高风险
206007,中高风险
206008,中风险
206009,中高风险
206010,高风险
206012,高风险
206015,中低风险
206018,中低风险
210001,中高风险
210002,中高风险
210003,中高风险
210004,中高风险
210005,中高风险
210007,中高风险
210008,中高风险
210009,中高风险
210010,中高风险
210011,中高风险
213001,中高风险
213002,中高风险
213003,中高风险
213006,中高风险
213007,中风险
213008,中高风险
213010,高风险
213917,中风险
217001,中高风险
217002,中高风险
217003,中低风险
217005,中高风险
217008,中风险
217009,中高风险
217010,中高风险
217011,中风险
217012,中高风险
217013,中高风险
217016,高风险
217017,高风险
217018,中风险
217019,高风险
217020,中高风险
217021,中高风险
217022,中风险
217023,中风险
217024,中风险
217027,高风险
217203,中低风险
229002,中高风险
233001,中高风险
233005,中风险
233006,中高风险
233007,中高风险
233008,中高风险
233009,中高风险
233010,高风险
233011,中高风险
233012,中风险
233013,中风险
233015,中高风险
240001,中高风险
240002,中高风险
240003,中风险
240004,中高风险
240005,高风险
240008,中高风险
240009,中高风险
240010,中高风险
240011,中高风险
240012,中风险
240013,中风险
240014,高风险
240016,高风险
240017,中高风险
240018,中高风险
240019,高风险
240020,中高风险
240022,中高风险
253010,中高风险
253020,中风险
253021,中风险
253030,中风险
255010,中高风险
257010,中高风险
257020,中高风险
257030,中高风险
257040,中高风险
257050,中高风险
257060,高风险
257070,中高风险
260101,中高风险
260103,中高风险
260104,中高风险
260108,中高风险
260109,中高风险
260110,中高风险
260111,中高风险
260112,中高风险
260115,中高风险
260116,中高风险
260117,中高风险
261001,中风险
261002,中风险
261101,中风险
261102,中风险
262001,高风险
270001,中高风险
270002,中高风险
270005,中高风险
270006,中高风险
270007,中高风险
270008,中高风险
270009,中风险
270010,高风险
270021,中高风险
270022,中高风险
270025,中高风险
270026,高风险
270028,中高风险
270029,中风险
270030,中风险
270041,中高风险
270044,中低风险
270045,中低风险
