datetime,portfolio_0.01,baseline_0.01,portfolio_0.02,baseline_0.02,portfolio_0.03,baseline_0.03,portfolio_0.04,baseline_0.04,portfolio_0.05,baseline_0.05
2016-01-04,0.0,-0.0009116824090909092,0.0,-0.00048155800000000004,0.0,-0.00048155800000000004,0.0,-0.00048155800000000004,0.0,-0.00048155800000000004
2016-01-05,-2.291565198753176e-05,-0.0014408192272727272,0.0002459643271662815,-0.0015898499999999999,-0.00010623273614496222,-0.0015898499999999999,-7.259900952805154e-05,-0.0015898499999999999,-0.00010910059350632828,-0.0015898499999999999
2016-01-06,0.00022608986333527703,-0.0015159761818181816,0.00010915426862279089,-0.0013611969999999998,-0.00031703621983836255,-0.0013611969999999998,-0.0002000156466831493,-0.0013611969999999998,-0.0002384996976149134,-0.0013611969999999998
2016-01-07,0.0007630507474210013,-0.00043671236363636333,0.0006364486584918839,-4.7175999999999685e-05,0.000247227418375684,-4.7175999999999685e-05,0.00018641419209197707,-4.7175999999999685e-05,0.0002945252270651899,-4.7175999999999685e-05
2016-01-08,0.0013968548143168391,-0.00021872072727272695,0.0012738419064201036,0.0006150720000000004,0.001137242817675799,0.0006150720000000004,0.0010471234624640502,0.0006150720000000004,0.0009227802165685528,0.0006150720000000004
2016-01-11,0.0020230320372285338,0.0004711121818181822,0.0019214679650484403,0.0013018450000000003,0.0016938356747845387,0.0013018450000000003,0.0015887004837802365,0.0013018450000000003,0.0015944511381460469,0.0013018450000000003
2016-01-12,0.002813156014150664,0.0013497192272727276,0.003086860575554851,0.0026083120000000002,0.002388082443331219,0.0026083120000000002,0.0025085993630946657,0.0026083120000000002,0.0024612508962151836,0.0026083120000000002
2016-01-13,0.003457734277945823,0.0018240337272727278,0.004023782556608847,0.0043719430000000005,0.003386350476004663,0.0043719430000000005,0.003351894750378559,0.0043719430000000005,0.0033291747819792494,0.0043719430000000005
2016-01-14,0.004270474135391611,0.003241955318181819,0.004884874847076782,0.005397952000000001,0.004184222721878573,0.005397952000000001,0.004336895888482406,0.005397952000000001,0.003994596988112553,0.005397952000000001
2016-01-15,0.0041343161569908915,0.0018314667727272734,0.004576373725044492,0.004967516000000001,0.0037365637923673094,0.004967516000000001,0.0037442310951583124,0.004967516000000001,0.0037128741026648537,0.004967516000000001
2016-01-18,0.00468383387091631,0.0016897696818181825,0.005195651532258539,0.004712611000000001,0.004365059329040411,0.004712611000000001,0.004420976000125254,0.004712611000000001,0.004168178630218122,0.004712611000000001
2016-01-19,0.004481274051310047,0.0017041394545454552,0.004856111686446841,0.004517770000000001,0.003914952984196752,0.004517770000000001,0.003920444887792307,0.004517770000000001,0.0037490451323980434,0.004517770000000001
2016-01-20,0.004135024253411945,0.00032951713636363684,0.004092249052198516,0.0037654340000000007,0.0029230724032957016,0.0037654340000000007,0.002952238754705405,0.0037654340000000007,0.0025973418449607433,0.0037654340000000007
2016-01-21,0.004156887934438691,0.0007536923636363641,0.004185603300679853,0.0036381180000000005,0.003277950657664897,0.0036381180000000005,0.002898750275041717,0.0036381180000000005,0.002905353329352156,0.0036381180000000005
2016-01-22,0.004478586659745654,0.002380886318181819,0.004539797350934794,0.004567067,0.0038582327859463255,0.004567067,0.003502226484786819,0.004567067,0.003517996978439797,0.004567067
2016-01-25,0.004404052894524835,0.0015323795000000008,0.004804169695512007,0.0037419080000000004,0.0036924771101444214,0.0037419080000000004,0.0033580827421337833,0.0037419080000000004,0.0033900176278796046,0.0037419080000000004
2016-01-26,0.0035195072367326663,0.0017943371818181827,0.0035452407682833313,0.0029733610000000003,0.0026267556484939063,0.0029733610000000003,0.002332230264087798,0.0029733610000000003,0.0023221544581020215,0.0029733610000000003
2016-01-27,0.002159888320881098,0.0009005210454545463,0.002523894141507222,0.002000935,0.0016543126305587077,0.002000935,0.0012071095407404364,0.002000935,0.001499054348954143,0.002000935
2016-01-28,0.0016040868795748064,0.0001700141818181827,0.0018550297036549204,0.0012322080000000003,0.0010544946562186521,0.0012322080000000003,0.0005156025727011126,0.0012322080000000003,0.00090734934917025,0.0012322080000000003
2016-01-29,0.002092080114137751,0.002056946500000001,0.0023157702349428937,0.0022341780000000003,0.0015919806899254987,0.0022341780000000003,0.0011039188483965567,0.0022341780000000003,0.001569722743692159,0.0022341780000000003
2016-02-01,0.0022906492669938494,0.002667042681818183,0.0031896862271779684,0.0025732430000000002,0.0038998015789611933,0.0025732430000000002,0.0013151341622807955,0.0025732430000000002,0.003538852147410454,0.0025732430000000002
2016-02-02,0.002137441300734899,0.001959699681818183,0.0027994087998445276,0.002590643,0.0035446311168919613,0.002590643,0.0008523340738784135,0.002590643,0.0029643710010178737,0.002590643
2016-02-03,0.0018749118586589564,0.0011195553181818194,0.0026633081596324497,0.001871617,0.0030436498162148555,0.001871617,0.00022565298568877346,0.001871617,0.0026090828284175416,0.001871617
2016-02-04,0.00216894231867526,0.0021568964545454557,0.0031937865895804722,0.002222402,0.003900290746531421,0.002222402,0.0009749599738919645,0.002222402,0.0034356948057352454,0.002222402
2016-02-05,0.0026462955280843747,0.0020535111363636374,0.0038738464627360307,0.00234296,0.004362926561452985,0.00234296,0.001363345344142175,0.00234296,0.003908957980556682,0.00234296
