0,1
宝盈祥泰混合C,高宇
王文华,东吴增利债券A
德邦德信中高企债指数分级B,丁孙楠
申俊华,平安大华惠益纯债
张子法,天弘中证医药100A
国投瑞银添利宝货币A,颜文浩
陶灿,建信恒久价值混合
嘉实价值增强混合,胡永青
李怡文,国投瑞银新机遇灵活配置混合C
黄栋,上投摩根量化多因子混合
固定收益,东吴鼎利分级债券A
中金现金管家B,石玉
光大保德信事件驱动混合,混合型
刘晨,中欧电子信息产业沪港深股票C
富国天利增长债券,黄纪亮
董鎏洋,北信瑞丰现金添利B
广发汇兴3个月定期开放债券,谢军
江科宏,景顺中证800食品饮料ETF
混合型,长安鑫益增强混合C
招商招兴3个月定开C,周欣宇
李璇,混合型
混合型,鹏华策略回报混合
石大怿,易方达月月利理财债券B
债券型,中加丰尚纯债债券
陈佳昀,万家稳健增利债券C
吴振翔,股票型
前海联合泳隆混合A,王静
博时民丰纯债A,黄海峰
交银纯债债券发起A,于海颖
工银信用纯债两年定开债C,定开债券
钟智伦,富国宝利增强债券
何如,嘉实富时中国A50ETF联接A
债券型,尹诚庸
华安中债1-3年政策金融债C,马晓璇
肖芳芳,安信鑫日享中短债A
华安添颐混合,混合型
债券型,中融恒惠纯债A
招商中国机遇股票,王景
中银益利混合A,混合型
中银新趋势混合,陈玮
华安全球稳健配置(QDII-FOF)C,庄宇飞
交银强化回报债券C,于海颖
大成景安短融债券E,张文平
张靖爽,海富通一年定开债C
胡启聪,股票型
黄浩荣,融通通慧混合A/B
魏欣,工银尊享短债债券A
中金丰沃A,混合型
长江乐享货币A,货币型
俞晓斌,富国稳健增强债券C
彭海平,中海添瑞定开混合
万梦,景顺长城安享回报混合C
华宝先进成长混合,季鹏
工银养老产业股票,赵蓓
定开债券,丁进
混合型,国联安鑫怡混合A
博时富元纯债债券,债券型
陶铄,货币型
南方中证国有企业改革分级B,分级杠杆
圆信永丰兴源灵活配置混合C,混合型
叶勇,万家双引擎灵活配置混合
郑可成,华安日日鑫货币H
王旭巍,信诚至远C
股票型,赵蓓
万家鑫璟纯债A,债券型
民生加银现金增利货币B,李文君
长信利息收益货币A,万莉
姚爽,招商安元灵活配置混合C
许强,招商招顺纯债A
东方永泰纯债1年A,定开债券
吴潇,国投瑞银新活力定开混合C
赵世宏,大成惠裕定开纯债债券
颜灵珊,混合型
朱少醒,富国天惠成长混合C
银华活钱宝货币C,哈默
乔春,股票型
混合型,国联安鑫富混合A
长信沪深300指数增强A,左金保
南方稳利1年定开债A,孟飞
股票指数,姚婷
国联安鑫发混合C,混合型
交银裕兴纯债债券A,债券型
华夏潜龙精选股票,股票型
王少成,交银策略回报灵活配置混合
光大睿鑫混合A,翟云飞
分级杠杆,许之彦
彭海平,分级杠杆
中海惠丰纯债分级债券,债券型
融通沪港深智慧生活灵活配置混合,余志勇
景顺中证红利成长低波动A,曾理
张睿,兴全磐稳增利债券
郑振源,创金合信转债精选债券C
股票型,中银互联网+股票
银华活钱宝货币E,刘谢冰
联接基金,华夏上证50ETF联接C
QDII,国富美元债定开债人民币
向霈,货币型
李宜璇,银华中证内地资源指数分级
中银理财7天债券B,理财型
朱建华,建信稳定增利债券A
许文波,东方龙混合
李威,汇添富外延增长主题股票
胡中原,混合型
华安大安全混合,舒灏
赵健,华泰保兴研究智选C
郑振源,创金合信汇益纯债一年定开债A
魏桢,博时现金宝货币B
王曦,博时新起点混合A
混合型,富荣价值精选混合C
交银裕如纯债债券A,债券型
民生增强收益债券C,杨林耘
蒋雯文,中欧双利债券A
张原,南方成份精选混合A
华泰柏瑞量化对冲,混合型
李孟海,混合型
易方达上证中盘ETF联接A,张胜记
戴军,大成优选混合(LOF)
混合型,富国睿利定开混合发起式
中银理财30天债券A,王妍
张帆,长盛纯债债券C
华夏兴和混合,混合型
李杰,金元顺安丰利债券
汇安丰融混合A,仇秉则
庞宝臣,分级杠杆
尹培俊,华富诚鑫灵活配置混合A
红土创新改革红利混合,梁冬冬
袁英杰,申万菱信申万传媒分级B
张胜记,QDII-ETF
债券型,胡振仓
陈瑶,天弘中证计算机主题指数C
分级杠杆,陶曙斌
博时鑫瑞混合C,过钧
姚航,东方民丰回报赢安混合A
前海开源盛鑫混合A,谭荐丰
博时月月薪定期支付债券,陈凯杨
杨超,泰达宏利业绩股票C
丁宇佳,泰达宏利创金混合A
华宝香港大盘C,股票指数
朱志权,泰信优势增长混合
俞科进,股票指数
前海开源沪港深强国产业混合,混合型
国投瑞银瑞泰多策略混合,杨冬冬
邹维娜,定开债券
东兴众智优选混合,李晨辉
混合型,鲍无可
魏桢,博时安荣18个月定开债
鑫元鑫趋势灵活配置混合C,混合型
俞晓斌,富国两年期理财债券A
华富竞争力优选混合,郭晨
广发纯债债券A,张芊
宝盈祥颐定期开放混合A,混合型
混合型,嘉实新常态混合A
混合型,焦庆
建信安心回报债券C,朱建华
广发中证全指汽车指数A,股票指数
长安泓沣中短债债券C,孟楠
民生加银平稳增利C,李慧鹏
东方周期优选灵活配置混合,薛子徵
定开债券,泓德裕泽一年定开债券A
长安泓沣中短债债券C,徐小勇
朱哲,大成添益交易型货币E
长盛研发回报混合,混合型
唐俊杰,万家稳健增利债券C
中银中小盘成长混合,混合型
北信瑞丰研究精选,庞琳琳
张李陵,博时稳定价值债券B
华夏收益债券(QDII)A,QDII
广发聚宝混合,谭昌杰
信诚深度价值混合(LOF),郑伟
混合型,金猛
汤志彦,鹏华弘益混合C
赵若琼,益民服务领先混合
龙昌伦,嘉实长青竞争优势股票A
南方有色金属ETF联接A,周豪
中银标普全球资源等权重指数,QDII-指数
汇添富养老2050混合(FOF),混合-FOF
前海联合泳辉纯债A,曾婷婷
肖志刚,天弘策略精选混合A
财通纯债债券C,债券型
混合型,金元顺安优质精选混合A
郑慧莲,汇添富熙和精选混合A
南方卓元债券A,郑迎迎
金鹰元禧混合A,倪超
光大添天盈理财债券A,沈荣
银河睿嘉债券A,蒋磊
混合型,南方荣毅
广发深证100指数分级,股票指数
债券型,裴禹翔
华夏3-5年信用债ETF,祝灿
申万菱信新动力混合,季新星
工银月月薪定期支付债券A,张洋
混合型,袁曦
邓栋,招商标普指数-美元
杨超,天弘沪深300指数C
肖志刚,天弘精选混合
国富美元债定开债人民币,QDII
于鹏,混合型
债券型,永赢泰益债券A
易方达天天发货币B,货币型
理财型,长盛添利60天理财发起式B
张玮,定开债券
债券型,高宇
嘉实新兴产业股票,季文华
定开债券,兴业增益五年定开债
万家瑞和灵活配置混合A,周潜玮
理财型,中银理财90天债券B
上投安裕回报C,陈圆明
王旭巍,信诚新锐混合B
黄华,中欧可转债债券C
货币型,嘉合货币A
农银汇理金利一年定开债,定开债券
联接基金,建信深证基本面60ETF联接C
马龙,招商安荣混合C
博时新兴成长混合,韩茂华
孙敏,QDII
杨锐文,股票型
国泰国证食品饮料行业分级B,分级杠杆
俞诚,申万菱信申万证券分级A
南方智诚混合,混合型
博时鑫泰混合C,王曦
国联安鑫悦灵活配置混合C,薛琳
中欧瑾和灵活配置混合C,混合型
马英,新华双利债券C
华泰紫金智盈债券A,李博良
股票指数,汇添富中证精准医疗指数C
国投瑞银岁赢利债券,宋璐
泰达宏利聚利B,丁宇佳
朱晨歌,混合型
张子法,天弘中证休闲娱乐指数C
黄倩倩,金鹰添裕纯债债券
张清华,易方达安盈回报混合
南方荣光A,混合型
郭杰,混合型
南方乾利定开债,黄斌斌
华安新财富灵活配置混合A,苏玉平
龙川,安信复兴100指数C
南方稳利1年定开债C,定开债券
新华精选低波动股票,赵楠
红土创新中证500增强A,庞世恩
徐光,汇添富AAA级信用纯债C
东方红稳健精选混合C,林鹏
万家玖盛9个月定开债C,陈佳昀
徐莹,理财型
债券型,富国可转债
混合型,王石千
王含嫣,货币型
于泽雨,新华家盈双利混合C
赵晓东,国富沪深300指数增强
混合型,光大风格轮动混合
汇安丰益混合A,仇秉则
长盛添利60天理财发起式B,理财型
QDII,华夏大中华混合(QDII)
国泰上证5年期国债联接C,韩哲昊
国泰智能汽车股票,周伟锋
混合型,华商万众创新混合
交银致远智投混合,蔡铮
黄婧丽,东吴优益债券C
国寿安保稳荣混合C,吴坚
固定收益,银华中证转债指数增强分级A
刘宁,嘉实新优选混合
博时稳健回报债券(LOF)A,债券型
金鹰医疗健康产业C,陈立
信达澳银信用债债券C,孔学峰
易方达原油C类美元汇,成曦
混合型,唐瑭
吴振翔,汇添富中证主要消费ETF
保本型,创金合信鑫安保本C
债券型,中加丰盈纯债债券
永赢合益债券,债券型
鑫元泽利债券,王海燕
傅浩,泰达宏利风险预算混合
杨子江,国联安鑫怡混合A
招商招祥纯债C,债券型
许飞虎,中加紫金灵活配置混合C
固定收益,长盛同庆A
王超,融通易支付货币B
华夏大中华信用债美元现钞A,邓思聪
英大纯债债券C,债券型
毛静平,泓德添利货币B
刘杰,广发创业板ETF联接C
蒋璆,华安睿安定开混合C
混合型,永赢量化混合发起式
李慧鹏,南方交元债券
罗博,银河君尚混合A
中银丰利混合A,赵建忠
吴昊,中邮增力债券
曲径,中欧达乐一年定开混合
陈会荣,大成景旭纯债债券C
鹏华弘嘉混合C类,张栓伟
林洪钧,交银货币B
于海颖,交银裕如纯债债券C
叶瑜珍,申万菱信安鑫优选混合A
国泰中证全指通信设备ETF,艾小军
蔡奕奕,南方理财金交易型货币E
祝灿,华夏新锦祥混合C
博时丰庆纯债债券,黄海峰
腊博,定开债券
德邦新添利债券A,丁孙楠
德邦纯债18个月定开债C,陈利
刘晓晨,债券型
广发全指工业ETF联接C,陆志明
长安泓源纯债债券A,徐小勇
华安安禧混合C,陆秋渊
理财型,周毅
前海开源价值成长混合A,混合型
李璇,南方战略配售(LOF)
贺涛,华安月月鑫短期理财债券A
定开债券,黄海峰
工银新材料新能源股票,股票型
建信智享添鑫定开混合,薛玲
混合型,南方信息创新混合C
景顺长城景颐丰利债券C,杨锐文
曲泉儒,诺安新动力混合
信诚至利混合A,王颖
马君,银华食品饮料量化股票发起式A
郑中华,混合型
申万菱信安鑫精选混合C,范磊
国泰添益灵活配置混合,王琳
鹏华环保分级A,闫冬
万家量化同顺混合A,卞勇
上投摩根安通回报混合C,聂曙光
混合型,景顺长城精选蓝筹混合
前海开源沪港深景气行业精选混合,付海宁
国泰全球绝对收益人民币,QDII
债券型,兴业短债债券A
中金量化多策略混合,混合型
融通新能源灵活配置混合,刘格菘
房建威,混合型
工银全球美元债C,QDII
周恩源,鹏华弘腾混合C
王涛,安信永瑞定开债券
混合型,秦锋
姚航,民生加银兴盈债券
广发聚惠混合A,易阳方
柳发超,万家年年恒荣定开债C
汤海波,国投瑞银中国价值发现股票
郑可成,华安安康灵活配置混合A
陈立,金鹰医疗健康产业A
农银信用添利债券,姚臻
史程,前海开源沪港深隆鑫混合C
创金合信春来回报A,混合型
混合型,长信量化价值驱动混合
易方达瑞兴灵活配置混合I,韩阅川
嘉实新趋势混合,混合型
建信全球资源混合(QDII),QDII
王衍胜,债券型
债券型,方正富邦睿利纯债A
混合-FOF,孟鸣
混合型,国泰睿吉灵活配置混合C
兴银3-5年信用债C,债券指数
建信月盈安心理财A,刘思
融通新能源汽车主题精选混合,付伟琦
债券型,张弘弢
国泰民益混合(LOF)A,樊利安
大成景祥分级债券A,张文平
钟智伦,富国嘉利稳健配置定期开放混合
混合型,东方红战略精选混合A
吴战峰,天治低碳经济混合
张玮升,股票型
债券型,华富安福债券
许强,招商招福宝货币B
庄园,安信宝利债券(LOF)
混合型,吴剑毅
万家现金宝A,侯慧娣
建信中短债纯债债券A,李峰
汇添富中债1-3年国开债A,债券指数
易方达MSCI中国A股联接A,联接基金
鹏华策略回报混合,王宗合
混合型,王崇
债券型,招商招轩纯债C
刘俊廷,平安估值优势混合A
胡剑,易方达中债新综指(LOF)C
黄海峰,博时安盈债券A
吴廷华,长信价值优选混合
杨德龙,南方沪深300ETF
桑迎,嘉实安心货币B
华泰保兴健康消费A,混合型
海富通瑞祥一年定开债券,陈轶平
孙远慧,股票型
何秀红,工银银和利混合
郑希,混合型
中加心享混合C,混合型
长城定开债C,蔡旻
农银7天理财债券A,史向明
梁冬冬,股票型
陈斯扬,ETF-场内
混合型,黎海威
银华鑫瑞,分级杠杆
罗洋,混合型
王刚,招商丰嘉混合C
混合型,国投瑞银瑞盈混合(LOF)
光大保德信安祺债券C,董伟炜
中邮乐享收益灵活配置混合,刘凡
汇添富环保行业股票,股票型
刘敦,股票指数
股票指数,富国中证军工指数分级
诺安聚鑫宝货币C,货币型
纪玲云,易方达瑞财混合E
国富日日收益货币A,货币型
招商安润混合,钟贇
董理,兴全多维价值混合A
大成丰财宝货币A,黄海峰
混合型,东海美丽中国灵活配置混合
招商中证煤炭等权指数分级B,王平
华泰柏瑞量化阿尔法C,混合型
周豪,南方有色金属ETF联接C
混合型,李富强
九泰久鑫债券A,刘勇
债券型,兴银合盈债券C
西部利得国企红利(LOF),盛丰衍
华安添鑫中短债C,马晓璇
泰康恒泰回报混合A,桂跃强
长盛同享灵活配置A,蔡宾
徐栋,国投瑞银瑞易货币
混合型,交银沪港深价值精选混合
混合型,周欣
汇添富睿丰混合(LOF)C,赵鹏飞
混合型,嘉实中小企业量化活力混合
华夏经典混合,李铧汶
李伟,广发中债1-3年农发债指数A
股票指数,曹祥
债券型,刘阳
货币型,渤海汇金汇添金货币A
股票指数,创金合信国证2000指数C
债券型,中银双利债券B
银河犇利灵活配置混合C,混合型
鑫元合享纯债A,张明凯
债券型,德邦锐祺债券C
长盛盛崇灵活配置混合C,杨衡
天弘互联网混合,混合型
建信双息红利债券C,债券型
卢安平,鹏扬景欣混合A
安信鑫发优选混合,蓝雁书
刘自强,混合型
华夏新锦绣混合C,混合型
定开债券,郑迎迎
天弘债券发起式B,郭相博
工银7天理财债券B,魏欣
汇安丰泽混合A,仇秉则
祝建辉,债券型
申万菱信安鑫优选混合A,蒲延杰
张晓泉,国投瑞银进宝灵活配置混合
杨彦喆,嘉合医疗健康混合
股票指数,俞科进
定开债券,浦银安盛幸福回报定开债B
债券型,金元顺安丰利债券
混合型,金信量化精选混合
货币型,张倩
混合型,广发逆向策略混合
招商招怡纯债A,许强
李文程,兴银现金收益货币
安信中国制造2025混合,混合型
张淑婉,上投标普港股通低波红利指数A
招商招怡纯债C,许强
北信瑞丰稳定收益A,郑猛
华夏回报混合A,混合型
长城久源灵活配置混合,蒋劲刚
民生加银现金宝货币A,乐瑞祺
华夏新兴消费混合C,黄文倩
尹德才,混合型
庞世恩,红土创新中证500增强C
货币型,楼昕宇
联接基金,薛玲
民生加银鑫瑞债券A,柳世庆
张子法,天弘量化驱动股票A
浦银安盛幸福聚益定开债A,章潇枫
陈伟彦,华夏智胜价值成长C
刘万锋,招商招钱宝货币C
李安杰,股票型
唐俊杰,万家鑫瑞纯债E
股票型,大摩品质生活精选股票
富国消费主题混合,刘莉莉
混合型,金耀
华夏中证四川国改ETF,庞亚平
邓栋,招商稳乾定开混合C
QDII-ETF,博时标普500ETF
混合型,易方达鑫转增利混合A
民生加银兴盈债券,姚航
股票指数,夏高
何秀红,工银信用纯债债券B
安信新价值混合C,钟光正
易方达保证金货币B,王晓晨
混合型,余广
债券型,民生加银鑫享债券C
薛琳,国联安鑫享灵活配置混合A
南方瑞合定开混合(LOF),混合型
混合型,海富通欣益混合A
银河领先债券,韩晶
王靖,北信瑞丰宜投宝B
债券指数,刘明宇
王玥,债券指数
杨欢,中邮睿信增强债
钟光正,长城定开债A
周健,股票指数
股票型,汇添富高端制造股票
李丹,国寿安保核心产业混合
殷瑞飞,国投瑞银新价值混合
股票型,景顺长城量化港股通股票
景顺中证TMT150ETF联接,联接基金
天弘量化驱动股票A,沙川
混合型,王增财
华安月安鑫短期理财债券A,马晓璇
华富物联世界灵活配置混合,龚炜
曲波,华夏现金增利货币A/E
定开债券,融通月月添利定开债B
混合型,华安新泰利灵活配置混合C
谷衡,工银丰益一年定开债券
王登峰,天弘增益宝货币
QDII,吴向军
混合型,殷瑞飞
何如,联接基金
赵栩,分级杠杆
邹曦,融通行业景气混合
陈正宪,嘉实中证500ETF
朱柏蓉,中融3-5年中高等级信用债A
分级杠杆,梁杏
沈荣,光大添天盈理财债券B
诺安全球黄金,梅律吾
定开债券,沈竹熙
浦银安盛幸福回报定开债B,钟明
国泰国策驱动灵活配置混合C,樊利安
中邮创新优势灵活配置混合,许忠海
混合型,安信平稳增长混合发起C
国泰中证全指证券公司ETF,艾小军
高耀华,国开开航混合
华夏沪港通恒生ETF联接C,徐猛
华泰保兴策略精选A,混合型
中融3-5年中高等级信用债C,朱柏蓉
万家强化收益定开债,苏谋东
货币型,黄倩倩
华安现金宝货币B,货币型
鹏华创业板分级,张羽翔
工银绝对收益混合发起B,游凛峰
国联安鑫盛混合A,杨子江
前海开源鼎安债券C,谢屹
蒋雯文,中欧滚钱宝货币A
杨淳,江信一年定开
梁裕宁,易方达瑞享混合E
白洁,中银理财60天债券发起B
红土创新增强收益债券A,陈若劲
创金合信恒兴中短债A,债券型
QDII,南方原油A
刘苏,基金普惠
银河稳健混合,王忠波
银河鑫利混合I,混合型
华富收益增强债券B,胡伟
博时创业板ETF联接C,赵云阳
华泰紫金零钱宝货币,陈利
刘伟,混合型
长盛盛世混合C,冯雨生
庞世恩,创金合信量化多因子股票A
万家经济新动能混合C,混合型
李德辉,上投摩根安全战略股票
中银新机遇混合A,混合型
大成创新成长混合(LOF),混合型
混合型,曾国富
万梦,景顺长城泰安回报混合C
银华通利混合C,混合型
广发中证全指医药卫生ETF,霍华明
黄亮,QDII
袁华涛,混合型
申万菱信中证军工指数分级A,俞诚
分级杠杆,薄官辉
债券型,中欧信用增利债券(LOF)C
戴骏,金鹰持久增利债券(LOF)C
嘉实稳康纯债债券,王亚洲
富安达健康人生混合,纪青
陈令朝,混合型
李晓易,华夏聚惠(FOF)A
李文君,民生加银鑫顺债券C
刘元海,东吴新趋势
债券型,中信建投稳惠债券A
浦银安盛双债增强债券C,钟明
王平,招商中证煤炭等权指数分级A
混合型,国富中国收益混合
易方达上证中盘ETF联接A,联接基金
工银新能源汽车混合A,杜洋
张清华,易方达鑫转添利混合C
周晶,华宝标普美国消费人民币
工银瑞景定开发起式债券,定开债券
周晶,华宝沪港深中国增强(LOF)A
工银物流产业股票,杜洋
永赢裕益债券C,乔嘉麒
朱梦娜,富国投资级信用债债券型A
新华丰利债券A,赵楠
杨爱斌,鹏扬泓利债券C
创金合信沪港深精选混合,混合型
广发安泽短债债券A,刘志辉
国联安上证商品ETF联接,联接基金
财通财通宝货币A,罗晓倩
交银现金宝货币A,林洪钧
傅奕翔,华泰保兴成长优选A
混合型,万家瑞尧灵活配置混合C
中加丰润纯债债券C,杨宇俊
招商安心收益债券,谢志华
沈荣,光大睿鑫混合C
长盛年年收益定期债券C,段鹏
鹏扬景欣混合A,赵世宏
银华永兴纯债债券(LOF)A,瞿灿
混合型,长盛盛弘混合A
刘元海,东吴沪深300A
刘鲁旦,华夏新锦祥混合A
创金合信聚利债券A,债券型
天弘沪深300指数A,股票指数
虞淼,混合型
富国新优选灵活定开混合A,蔡耀华
方纬,华泰柏瑞价值增长混合
国投瑞银纯债债券B,李怡文
创金合信优价成长股票C,股票型
华泰保兴尊诚一年定开债,定开债券
博时招财一号保本,张李陵
新华丰泽中短债债券C,张永超
中银丰荣定期开放债券,郑涛
泰达信用合利债券B,胡振仓
韩哲昊,国泰利是宝货币
刘晓晨,华商双债丰利债券A
上投摩根新兴服务股票,股票型
王慧杰,中欧滚钱宝货币A
杨凯玮,安信恒利增强债券C
刘辉,上投摩根内需动力混合
易方达瑞祺灵活配置混合E,混合型
南方理财14天债券A,罗军妮
平安惠兴债券,债券型
杨林耘,民生加银信用双利债券A
王迪,融通新能源汽车主题精选混合
嘉实稳泰债券,胡永青
混合型,华夏新锦福混合C
易方达银行分级B,分级杠杆
股票指数,国泰国证航天军工指数
平安鑫安混合E,田元强
债券指数,银华中债10年期金融债指数C
国富恒丰定期债券A,王莉
大成景祥分级债券,张文平
混合型,吴畏
大成景润灵活配置混合,李富强
嘉实沪深300ETF,何如
招商招顺纯债C,债券型
浙商汇金聚利一年定开债C,定开债券
国泰量化成长优选混合C,混合型
刘伟琳,工银沪深300指数A
王健,方正富邦惠利纯债A
国投瑞银核心企业混合,吉莉
混合型,国联安睿利定开混合
农银增强收益债券A,周宇
东方红收益增强债券C,债券型
分级杠杆,中融中证白酒指数分级B
伍文友,融通跨界成长灵活配置混合
宋永安,农银中证500指数
易方达中短期美元债(QDII)C人民币,QDII
泰信发展主题混合,车广路
上投摩根优信增利债券A,唐瑭
华夏鼎略债券C,债券型
荆一帆,申万菱信申万传媒分级B
混合型,李安心
混合型,银华惠安定期开放混合
伍旋,股票型
交银理财21天债券B,黄莹洁
混合型,富国金利定开混合C
上投标普港股通低波红利指数A,施虓文
袁华涛,华润元大医疗保健量化混合
侯昊,招商中证煤炭等权指数分级A
曹文俊,混合型
分级杠杆,闫冬
徐黄玮,混合型
国融融泰灵活配置混合A,混合型
刘江,QDII
李孟海,景顺长城中小板创业板精选股票
中邮稳健添利灵活配置混合,混合型
吴旅忠,富国收益宝交易型货币H
纪云飞,中邮安泰双核混合
罗捷,混合型
定开债券,海富通一年定开债A
中银量化精选混合,赵志华
债券型,工银中高等级信用债债券A
工银添颐债券A,债券型
平安高端制造混合A,李化松
汪洋,汇添富中证金融地产ETF
潘飞,债券型
融通量化多策略混合A,蔡志伟
货币型,梁婷
国泰瑞和纯债债券,债券型
债券型,博时富海纯债
前海联合泓鑫混合C,混合型
刘开运,九泰锐智定增混合
东方互联网嘉混合,郭瑞
大成景穗灵活配置混合A,混合型
中信建投稳利混合C,周户
刘晓晨,华商双债丰利债券C
货币型,华夏快线交易型货币
林暐,金鹰添鑫定开债发起式
陈军,中银中国混合(LOF)
长城改革红利混合,混合型
毛矛,富安达新动力混合
刘晋晋,凯石淳行业精选混合C
侯慧娣,国联安鑫禧灵活配置混合A
长信电子信息行业量化混合,左金保
姜晓丽,天弘永利债券E
银河量化价值混合,楼华锋
东方红汇利债券C,孔令超
分级杠杆,何晓春
ETF-场内,成钧
红土创新优淳货币B,梁戈伟
申万菱信新能源汽车混合,混合型
债券型,国投瑞银和顺债券
鑫元行业轮动混合A,丁玥
嘉实互通精选股票,股票型
信诚三得益债券B,宋海娟
王颀亮,富国国有企业债债券A/B
徐黄玮,安信量化多因子混合A
武磊,债券指数
苏圻涵,华安沪港深外延增长混合
丁骏,封闭式
金鹰稳健成长混合,于利强
债券型,新华丰利债券C
黄玥,前海开源中证军工指数C
韩创,大成消费主题混合
工银中证500指数B,分级杠杆
杨成,中银锦利灵活配置混合A
博时沪港深优质企业基金A,周志超
平安如意中短债C,债券型
ETF-场内,嘉实沪深300红利低波动ETF
债券型,国联安添利增长债C
林昊,华宝新机遇混合(LOF)C
招商瑞丰灵活配置混合发起式A,混合型
富安达长盈灵活配置混合,混合型
魏欣,工银新生利混合
王玥,中融季季红定开债C
理财型,国泰6个月短期理财债券B
王文龙,中融鑫起点混合C
雷俊,南方策略优化混合
西部利得成长精选混合,混合型
宝盈新价值混合A,混合型
万家新机遇价值驱动C,李文宾
田宏伟,国融融盛龙头严选混合A
联接基金,广发中证全指金融地产联接A
中信建投智信物联网C,混合型
邱璟旻,股票型
混合型,华宝价值发现混合
光大永鑫混合C,房雷
定开债券,李倩
分级杠杆,易方达证券公司分级B
中融恒裕纯债A,哈默
吴向军,国泰企业信用精选A人民币
中银腾利混合C,混合型
货币型,永赢天天利货币
光大睿鑫混合C,翟云飞
混合型,蔡宇滨
银河服务混合,钱睿南
混合型,东方人工智能主题混合
嘉实互融精选股票,蒋一茜
华宝增强收益债券B,詹杰
债券型,信诚增强收益债券(LOF)
李家春,货币型
徐治彪,混合型
债券型,永赢裕益债券C
混合型,国投瑞银新丝路混合(LOF)
招商康泰灵活配置混合,混合型
理财型,光大添天利理财债券A
中欧预见养老2035(FOF)C,混合-FOF
债券型,光大信用添益债券C
混合型,平安优势产业混合C
前海开源景鑫混合A,李炳智
华夏鼎淳债券A,柳万军
混合型,陆秋渊
李静,恒越核心精选混合A
孙琳,申万菱信新能源汽车混合
浙商汇金聚盈中短债A,债券型
工银瑞信聚盈混合A,李昱
前海开源3-5年国开债A,债券指数
中欧信用增利债券(LOF)E,朱晨杰
中融中证煤炭指数分级B,赵菲
益民多利债券,债券型
中融中证煤炭指数分级A,赵菲
鹏华兴泰定期开放混合,刘方正
徐翔,永赢昌益债券A
白洁,中银理财7天债券A
广发道琼斯石油指数美元现汇A,刘杰
郑迎迎,富国7天理财宝债券A
国泰企业信用精选A美元现汇,吴晨
徐猛,华夏战略新兴成指ETF
建信创新中国混合,邵卓
朱晨歌,汇安丰裕灵活配置混合C
国投瑞银优化增强债券A/B,董晗
光大保德信中高等级债券A,沈荣
混合型,葛晨
债券型,李会忠
QDII,阳琨
张铮烁,债券型
长盛盛崇灵活配置混合C,混合型
混合型,融通领先成长混合(LOF)
王萍莉,中海货币B
债券型,嘉实稳宏债券A
混合型,博时产业新动力混合C
国金量化多策略混合,混合型
银河量化多策略混合,混合型
景顺长城绩优成长混合,混合型
李佳亮,南方大数据100C
牛兴华,建信鑫安回报灵活配置混合
泰达宏利交利3个月定开债C,傅浩
大成景安短融债券B,朱哲
招商添德3个月定开债C,滕越
国投瑞银顺泓债券,定开债券
唐赟,债券型
招商产业债券A,债券型
银华信息科技量化股票发起式C,李宜璇
成钧,平安中证500ETF
徐超,混合型
中邮睿利增强债券,张萌
曾刚,华富收益增强债券A
刘波,长信利保债券
长城久兆积极指数,杨建华
罗远航,货币型
定开债券,华安年年红债券A
魏桢,博时合鑫货币
张清华,易方达鑫转招利混合A
招商丰乐灵活配置混合C,王宠
ETF-场内,龚涛
中银理财60天债券发起B,王妍
QDII,华安全球稳健配置(QDII-FOF)C
货币型,中邮现金驿站货币A
长城稳健成长灵活配置混合,于雷
混合型,国投瑞银信息消费混合
混合型,胡涛
鹏华弘泰A,周恩源
国泰上证5年期国债联接C,联接基金
国富金融地产混合A,邓钟锋
赵建忠,中银丰利混合C
富国新优享灵活配置混合A,钟智伦
太平睿盈混合,陈晓
黄玥,前海开源量化优选C
添富民安增益定开混合C,赵鹏飞
天弘稳利定期开放A,刘洋
张玮,人保鑫瑞中短债债券A
圆信永丰消费升级,胡春霞
混合型,建信瑞福添利混合A
债券型,贾腾
易方达沪深300ETF联接A,张胜记
黄纪亮,债券型
柳万军,华夏恒融一年定开债
蔡奕奕,南方收益宝货币A
华宝大盘精选混合,詹杰
游典宗,国都创新驱动
王国强,信诚经典优债债券A
大成添利宝货币E,陈会荣
混合型,张晓泉
郅元,万家天添宝货币A
银华食品饮料量化股票发起式A,股票型
易方达科瑞混合,杨嘉文
国都量化精选混合,游典宗
孟晨波,上投摩根现金管理货币
何奇峰,华商消费行业股票
华宝绿色主题混合,蔡目荣
银河犇利灵活配置混合C,钱睿南
方旻,分级杠杆
债券指数,建信中债国开行债C
国泰兴益灵活配置混合C,混合型
建信量化优享定开混合,混合型
西部汇逸债券A,韩丽楠
张跃鹏,中欧瑾通灵活配置混合A
孙琳,申万菱信盛利精选混合
罗远航,华泰柏瑞新利混合C
长盛盛通纯债A,债券型
富国中证工业4.0指数分级,王乐乐
前海开源鼎瑞债券A,吴国清
平安惠聚纯债债券,债券型
富国中证银行指数,王保合
信诚货币E,货币型
创金合信转债精选债券C,郑振源
嘉实新添辉定期混合A,混合型
陆欣,工银国债纯债债券C
天弘新活力混合,混合型
债券型,李海
混合型,中金瑞祥C
郑如熙,华安安逸半年定开债
沈荣,光大保德信超短债A
广发聚丰混合,李琛
敬夏玺,前海联合润丰混合C
东方臻选纯债债券C,债券型
混合型,东方城镇消费主题混合
债券型,华富强化回报债券(LOF)
股票型,西部利得个股精选股票
