0,1
东方稳健回报债券,吴萍萍
定开债券,招商添利6个月定开债发起式C
永赢惠泽一年,混合型
胡剑,易方达纯债1年定开债A
刘爱民,债券型
华安日日鑫货币B,朱才敏
建信瑞盛添利混合A,牛兴华
前海开源尊享货币B,货币型
光大信用添益债券C,债券型
债券型,金鹰添利信用债债券C
华宝新优选定开混合,光磊
混合型,广发利鑫灵活配置混合
建信新兴市场混合(QDII),李博涵
创金合信价值红利混合C,陈玉辉
债券指数,银华上证10年期国债A
定开债券,华富恒财定开债C
吴秉韬,泰信国策驱动灵活配置混合
王啸,南方荣安A
东吴国企改革,王立立
赵菲,中融量化小盘股票A
大成积极成长混合,黄万青
国泰中证国有企业改革指数,徐皓
广发稳裕混合,混合型
朱小明,股票指数
经惠云,银华中证中票50指数债券A
张鹿,博时富鑫纯债
东方惠新灵活配置混合C,郭瑞
股票指数,龙昌伦
华安新泰利灵活配置混合C,混合型
王亚洲,定开债券
中泰星元灵活配置混合,混合型
东方新思路混合C,王然
富国新收益灵活配置混合A,混合型
股票指数,天弘中证食品饮料指数C
梁婷,人保鑫盛纯债A
人保鑫瑞中短债债券A,张玮
混合型,华安双核驱动混合
长盛盛景纯债C,债券型
张挺,华泰保兴货币A
杨谷,诺安主题精选混合
施旭,平安转型创新混合C
程彧,汇丰晋信沪港深C
股票型,许定晴
许强,招商招禧宝货币A
代宇,广发聚鑫债券A
徐成,国富全球科技互联混合美元现汇
兴银长富一年定开债,陈博亮
孙敏,广发全球收益(QDII)美元现汇A
万家家瑞债券C,苏谋东
肖芳芳,安信鑫日享中短债C
富国天盈分级债券B,分级杠杆
易方达军工分级A,余海燕
前海开源裕和混合C,刘静
方正富邦丰利债券C,债券型
张略钊,债券型
焦文龙,鹏华养老2035混合(FOF)
永赢开泰中高等级中短债C,债券型
杜海涛,工银瑞信双利债券B
南华瑞扬纯债C,刘斐
杨衡,长盛盛德灵活配置混合A
祝灿,华夏海外收益债券现汇
货币型,光大货币
创金合信沪深300指数增强C,庞世恩
李宜璇,银华中小市值量化优选A
信诚至信,混合型
保本型,国金鑫安保本
程志田,创金合信量化核心混合A
长盛同辉深100等权重分级A,固定收益
李国栋,兴银丰盈灵活配置
于启明,嘉合磐通债券C
田汉卿,华泰柏瑞量化智慧混合A
货币型,毛从容
嘉实多利分级债券,债券型
张弘弢,华夏恒生ETF联接现汇
融通通颐定开债券C,黄浩荣
工银泰享三年理财债券,定开债券
股票型,中欧时代先锋股票A
混合型,魏丽
安信新常态股票,股票型
范妍,圆信永丰双利C
平安鑫享混合C,施旭
债券型,中加颐合纯债债券
经惠云,定开债券
涂海强,中银鑫利混合C
西部利得合享C,债券型
乔嘉麒,永赢汇利六个月定开债
封闭式,应帅
方龙,债券型
华安安心收益债券B,债券型
建信睿兴纯债债券,刘思
鑫元安鑫宝货币A,张明凯
混合型,富国新回报灵活配置混合C
徐治彪,股票型
盛丰衍,西部利得沪深300指数增强A
徐黄玮,安信量化精选沪深300增强C
陈伯祯,银河中证沪港深高股息A
嘉实中证企业债指数C,崔思维
固定收益,招商沪深300高贝塔分级A
定开债券,杨成
李显君,新华增强债券C
易方达标普消费品指数美元现汇A,张胜记
姚航,东方金账簿货币A
博时现金宝货币A,货币型
广发百发大数据精选混合A,混合型
张彦,泰信智选成长混合
长盛城镇化主题混合,代毅
股票型,易小金
谭昌杰,广发聚康混合C
混合型,闫旭
天弘中证银行指数A,陈瑶
徐皓,国泰中小板300成长ETF
混合型,银华汇利灵活配置混合A
混合型,华夏行业景气混合
广发理财7天债券B,理财型
国投瑞银新成长混合C,桑俊
股票型,银华中小市值量化优选A
上投摩根岁岁盈定开债C,定开债券
交银中证环境治理指数分级B,分级杠杆
北信瑞丰增强回报,郑猛
姚爽,招商丰庆混合C
股票指数,华宝沪港深中国增强(LOF)A
博时上证50ETF联接C,联接基金
张金涛,股票型
中融融裕双利债券A,沈潼
上投摩根科技前沿灵活配置混合,李博
混合型,严志勇
货币型,长信长金通货币A
李显君,新华活期添利货币A
中信建投货币A,黄海浩
股票指数,前海开源中证军工指数C
混合型,大成竞争优势混合
股票型,刘彦春
东方红稳健精选混合C,孔令超
广发中证全指信息技术ETF,ETF-场内
九泰久盛量化先锋混合A,孟亚强
混合型,天治低碳经济混合
前海开源沪港深新硬件A,混合型
债券指数,嘉实中证企业债指数C
吴振翔,汇添富中证互联网医疗指数A
前海联合科技先锋混合C,王静
债券型,王晓晨
大成现金增利货币A,王立
胡娜,银华汇利灵活配置混合A
定开债券,中信建投山西国企债C
广发中证全指原材料ETF,ETF-场内
萧楠,易方达消费行业股票
交银裕通纯债债券A,唐赟
债券型,方旭赟
中金中证500A,股票指数
林森,易方达瑞弘混合C
混合型,邱杰
定开债券,郑可成
债券型,张跃鹏
