code,fund_type,X,Y,symbol,issuer,manager_0,manager_1,manager_2,manager_3,manager_4
159913,Stock,-9.608987,-16.919048,交银300价值ETF,交银施罗德基金管理有限公司,蔡铮,,,,
159915,Stock,-5.401963,-20.304838,易方达创业板ETF,易方达基金管理有限公司,成曦,刘树荣,,,
159916,Stock,-9.81326,-18.15259,建信深证60ETF,建信基金管理有限责任公司,薛玲,,,,
159918,Stock,-3.3271985,-21.150906,嘉实中创400ETF,嘉实基金管理有限公司,李直,刘珈吟,,,
159919,Stock,-42.344776,-20.144447,嘉实沪深300ETF,嘉实基金管理有限公司,陈正宪,何如,,,
159920,QDII,-4.2440186,-16.210457,华夏恒生ETF,华夏基金管理有限公司,徐猛,,,,
159922,Stock,-6.0759535,24.22926,嘉实中证500ETF,嘉实基金管理有限公司,陈正宪,何如,,,
159923,Stock,-1.3926681,16.302126,大成100ETF,大成基金管理有限公司,苏秉毅,,,,
159925,Stock,-42.344776,-20.144445,南方300ETF,南方基金管理股份有限公司,罗文杰,,,,
159926,Bond,0.15317424,38.687134,嘉实国债ETF,嘉实基金管理有限公司,曲扬,王亚洲,,,
159928,Stock,-2.9398959,26.971138,汇添富消费ETF,汇添富基金管理股份有限公司,过蓓蓓,,,,
159929,Stock,-4.566231,20.473722,汇添富医药ETF,汇添富基金管理股份有限公司,过蓓蓓,,,,
159930,Stock,-2.8146157,22.163496,汇添富能源ETF,汇添富基金管理股份有限公司,过蓓蓓,,,,
159931,Stock,-3.6016827,28.269327,汇添富金融ETF,汇添富基金管理股份有限公司,过蓓蓓,,,,
159932,Stock,-6.445058,21.184072,大成500深ETF,大成基金管理有限公司,张钟玉,,,,
159933,Stock,-37.230843,-16.162954,国投金地ETF,国投瑞银基金管理有限公司,殷瑞飞,,,,
159934,Other,-6.7229257,-32.19521,易方达黄金ETF,易方达基金管理有限公司,范冰,余海燕,,,
160105,Hybrid,5.268779,-19.91675,南方积配,南方基金管理股份有限公司,蔡望鹏,,,,
160106,Hybrid,5.3068557,-19.871885,南方高增,南方基金管理股份有限公司,张原,,,,
160119,Stock,-5.816516,23.747307,南方500ETF联接A,南方基金管理股份有限公司,罗文杰,,,,
160127,Stock,-0.7153568,34.150604,南方消费,南方基金管理股份有限公司,肖勇,,,,
160128,Bond,26.216213,-34.0795,南方金利A,南方基金管理股份有限公司,李璇,,,,
160129,Bond,26.216213,-34.0795,南方金利C,南方基金管理股份有限公司,李璇,,,,
160130,Bond,25.390488,-40.140438,南方永利A,南方基金管理股份有限公司,刘文良,,,,
160211,Hybrid,0.5023545,2.8773043,国泰小盘,国泰基金管理有限公司,杨飞,,,,
160212,Hybrid,-44.80687,0.24580045,国泰优势,国泰基金管理有限公司,杨飞,,,,
160215,Hybrid,-35.447292,4.92748,国泰价值,国泰基金管理有限公司,周伟锋,,,,
160217,Bond,-16.17549,28.895319,国泰互利,国泰基金管理有限公司,吴晨,,,,
160218,Stock,-9.346982,21.8601,国泰房地产,国泰基金管理有限公司,徐成城,,,,
160219,Stock,-9.337136,21.852604,国泰医药,国泰基金管理有限公司,梁杏,徐成城,,,
